event_wall_ms,event_wall_ts,period,clock,description,event_type,scorer_side,scorer_label,scorer_team_id,expected_team_id,team_id_matches_side,points,pre_home_points,pre_away_points,post_home_points,post_away_points,pre_diff_for_scorer
1780706970000.0,2026-06-06 00:49:30+00:00,1,9:00,Julian Champagnie makes three point fadeaway bank jump shot,threepointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,3,10,7,13,7,-3
1780706989000.0,2026-06-06 00:49:49+00:00,1,8:41,OG Anunoby makes three point pullup jump shot (Jalen Brunson assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,13,7,13,10,6
1780707099000.0,2026-06-06 00:51:39+00:00,1,7:42,Victor Wembanyama makes two point cutting dunk (Keldon Johnson assists),twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,13,10,15,10,-3
1780707125000.0,2026-06-06 00:52:05+00:00,1,7:16,Jalen Brunson makes three point running pullup jump shot,threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,15,10,15,13,5
1780707144000.0,2026-06-06 00:52:24+00:00,1,6:56,Dylan Harper makes two point driving finger roll layup (Julian Champagnie assists),twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,15,13,17,13,-2
1780707536000.0,2026-06-06 00:58:56+00:00,1,5:45,Luke Kornet makes regular free throw 1 of 2,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,17,13,18,13,-4
1780707568000.0,2026-06-06 00:59:28+00:00,1,5:27,Dylan Harper makes two point driving dunk (Stephon Castle assists),twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,18,13,20,13,-5
1780707609000.0,2026-06-06 01:00:09+00:00,1,5:11,Karl-Anthony Towns makes three point jump shot (Mikal Bridges assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,20,13,20,16,7
1780707730000.0,2026-06-06 01:02:10+00:00,1,4:16,Karl-Anthony Towns makes two point driving layup,twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,20,16,20,18,4
1780707815000.0,2026-06-06 01:03:35+00:00,1,3:32,De'Aaron Fox makes two point pullup bank jump shot,twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,20,18,22,18,-2
1780707879000.0,2026-06-06 01:04:39+00:00,1,3:25,Mitchell Robinson makes regular free throw 1 of 2,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,22,18,22,19,4
1780707922000.0,2026-06-06 01:05:22+00:00,1,3:06,Devin Vassell makes two point driving finger roll layup (Dylan Harper assists),twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,22,19,24,19,-3
1780708220000.0,2026-06-06 01:10:20+00:00,1,2:38,De'Aaron Fox makes three point jump shot (Devin Vassell assists),threepointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,3,24,19,27,19,-5
1780708261000.0,2026-06-06 01:11:01+00:00,1,2:29,Mitchell Robinson makes regular free throw 1 of 2,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,27,19,27,20,8
1780708291000.0,2026-06-06 01:11:31+00:00,1,2:29,Mitchell Robinson makes regular free throw 2 of 2,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,27,20,27,21,7
1780708304000.0,2026-06-06 01:11:44+00:00,1,2:18,De'Aaron Fox makes two point driving finger roll layup,twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,27,21,29,21,-6
1780708356000.0,2026-06-06 01:12:36+00:00,1,1:45,De'Aaron Fox makes two point running alley-oop layup (Devin Vassell assists),twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,29,21,31,21,-8
1780708381000.0,2026-06-06 01:13:01+00:00,1,1:20,Mitchell Robinson makes two point cutting layup (OG Anunoby assists),twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,31,21,31,23,10
1780708456000.0,2026-06-06 01:14:16+00:00,1,1:06,Victor Wembanyama makes regular free throw 2 of 2,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,31,23,32,23,-8
1780708514000.0,2026-06-06 01:15:14+00:00,1,00:31.20,Landry Shamet makes two point running layup (Jalen Brunson assists),twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,32,23,32,25,9
1780708541000.0,2026-06-06 01:15:41+00:00,1,00:12.30,Victor Wembanyama makes two point driving layup (De'Aaron Fox assists),twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,32,25,34,25,-7
1780708818000.0,2026-06-06 01:20:18+00:00,2,11:32,Stephon Castle makes three point jump shot (Dylan Harper assists),threepointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,3,34,25,37,25,-9
1780708835000.0,2026-06-06 01:20:35+00:00,2,11:15,Karl-Anthony Towns makes three point stepback jump shot (Miles McBride assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,37,25,37,28,12
1780708946000.0,2026-06-06 01:22:26+00:00,2,10:12,Karl-Anthony Towns makes regular free throw 1 of 2,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,37,28,37,29,9
1780708979000.0,2026-06-06 01:22:59+00:00,2,10:12,Karl-Anthony Towns makes regular free throw 2 of 2,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,37,29,37,30,8
1780709053000.0,2026-06-06 01:24:13+00:00,2,9:45,Karl-Anthony Towns makes two point driving dunk (Jose Alvarado assists),twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,37,30,37,32,7
1780709122000.0,2026-06-06 01:25:22+00:00,2,9:21,Stephon Castle makes regular free throw 1 of 2,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,37,32,38,32,-5
1780709159000.0,2026-06-06 01:25:59+00:00,2,9:21,Stephon Castle makes regular free throw 2 of 2,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,38,32,39,32,-6
1780709187000.0,2026-06-06 01:26:27+00:00,2,9:04,Karl-Anthony Towns makes two point layup (Josh Hart assists),twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,39,32,39,34,7
1780709252000.0,2026-06-06 01:27:32+00:00,2,8:01,De'Aaron Fox makes two point driving floating jump shot,twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,39,34,41,34,-5
1780709308000.0,2026-06-06 01:28:28+00:00,2,8:01,De'Aaron Fox makes regular free throw 1 of 1,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,41,34,42,34,-7
1780709366000.0,2026-06-06 01:29:26+00:00,2,7:38,Jose Alvarado makes regular free throw 1 of 3,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,42,34,42,35,8
1780709409000.0,2026-06-06 01:30:09+00:00,2,7:38,Jose Alvarado makes regular free throw 3 of 3,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,42,35,42,36,7
1780709442000.0,2026-06-06 01:30:42+00:00,2,7:03,Mikal Bridges makes three point jump shot (Karl-Anthony Towns assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,42,36,42,39,6
1780709700000.0,2026-06-06 01:35:00+00:00,2,6:49,Dylan Harper makes two point driving reverse layup (De'Aaron Fox assists),twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,42,39,44,39,-3
1780709786000.0,2026-06-06 01:36:26+00:00,2,5:37,Mikal Bridges makes three point running pullup jump shot (Josh Hart assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,44,39,44,42,5
1780710052000.0,2026-06-06 01:40:52+00:00,2,5:14,Devin Vassell makes flagrant free throw 1 of 2,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,44,42,45,42,-2
1780710052000.0,2026-06-06 01:40:52+00:00,2,5:14,Devin Vassell makes flagrant free throw 2 of 2,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,45,42,46,42,-3
1780710164000.0,2026-06-06 01:42:44+00:00,2,4:56,Victor Wembanyama makes technical free throw 1 of 1,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,46,42,47,42,-4
1780710222000.0,2026-06-06 01:43:42+00:00,2,4:45,OG Anunoby makes regular free throw 1 of 2,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,47,42,47,43,5
1780710240000.0,2026-06-06 01:44:00+00:00,2,4:45,OG Anunoby makes regular free throw 2 of 2,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,47,43,47,44,4
1780710320000.0,2026-06-06 01:45:20+00:00,2,4:28,Victor Wembanyama makes regular free throw 2 of 2,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,47,44,48,44,-3
1780710348000.0,2026-06-06 01:45:48+00:00,2,4:02,Mikal Bridges makes three point jump shot (OG Anunoby assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,48,44,48,47,4
1780710371000.0,2026-06-06 01:46:11+00:00,2,3:39,Landry Shamet makes two point running finger roll layup (Mikal Bridges assists),twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,48,47,48,49,1
1780710394000.0,2026-06-06 01:46:34+00:00,2,3:15,Devin Vassell makes three point jump shot (Victor Wembanyama assists),threepointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,3,48,49,51,49,1
1780710446000.0,2026-06-06 01:47:26+00:00,2,3:15,Devin Vassell makes regular free throw 1 of 1,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,51,49,52,49,-2
1780710461000.0,2026-06-06 01:47:41+00:00,2,3:03,Jalen Brunson makes two point driving finger roll layup,twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,52,49,52,51,3
1780710915000.0,2026-06-06 01:55:15+00:00,2,00:38.30,Mikal Bridges makes two point floating jump shot (Karl-Anthony Towns assists),twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,52,51,52,53,1
1780710943000.0,2026-06-06 01:55:43+00:00,2,00:10.40,Karl-Anthony Towns makes three point jump shot (Mikal Bridges assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,52,53,52,56,-1
1780712020000.0,2026-06-06 02:13:40+00:00,3,11:37,Karl-Anthony Towns makes two point putback layup,twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,52,56,52,58,-4
1780712090000.0,2026-06-06 02:14:50+00:00,3,10:46,Victor Wembanyama makes two point pullup jump shot,twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,52,58,54,58,6
1780712108000.0,2026-06-06 02:15:08+00:00,3,10:28,OG Anunoby makes three point jump shot (Mikal Bridges assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,54,58,54,61,-4
1780712219000.0,2026-06-06 02:16:59+00:00,3,9:21,Jalen Brunson makes three point running pullup jump shot (Josh Hart assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,54,61,54,64,-7
1780712500000.0,2026-06-06 02:21:40+00:00,3,8:56,De'Aaron Fox makes two point running pullup jump shot (Victor Wembanyama assists),twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,54,64,56,64,10
1780712540000.0,2026-06-06 02:22:20+00:00,3,8:56,De'Aaron Fox makes regular free throw 1 of 1,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,56,64,57,64,8
